                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3278,                 4.2343,                 5.1899,                  1.473,                0.04081,                0.32339,                0.04775,                0.03439,                0.03446,                0.24607,                0.03907,                0.02545,                 1.1943,                 3.5346,                 4.3314,                 1.3012,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.3298,                 4.0581,                  4.568,                  1.417,                0.05666,                0.29639,                0.06746,                0.05071,                0.05522,                 0.2925,                0.06749,                0.03946,                 1.1158,                 3.0071,                  3.982,                  1.245,               0.091896,             0.00089554,             0.00089554
                      2,                 1.1699,                 3.0797,                 3.3477,                 1.3068,                0.27493,                0.19817,                0.14694,                0.10739,                0.27493,                0.19817,                0.14601,                0.08665,                0.95139,                  2.694,                 3.4978,                 1.1437,               0.087386,              0.0013861,              0.0013861
                      3,                 1.0349,                 2.5072,                 2.5391,                 1.2266,                0.44741,                0.43923,                0.36984,                0.27213,                0.40207,                0.41472,                0.33738,                0.19889,                0.82781,                 3.0372,                 2.9454,                 1.0564,               0.082872,              0.0018718,              0.0018718
                      4,                0.91302,                 2.2878,                 2.0974,                 1.1715,                0.52671,                0.54813,                0.55804,                0.45373,                0.46323,                0.52421,                 0.5211,                0.33929,                0.76663,                 2.9663,                 2.3893,                 1.0206,               0.078352,              0.0023525,              0.0023525
                      5,                0.83088,                 2.0095,                 1.6426,                 1.0846,                0.64401,                0.51296,                0.61733,                0.51653,                0.63331,                0.50254,                0.58017,                 0.3935,                  0.749,                 3.0714,                 1.9657,                  0.985,               0.073828,              0.0028282,              0.0028282
                      6,                0.84195,                 1.8981,                 1.4272,                 1.0642,                0.62739,                0.71507,                0.71726,                0.59098,                0.56896,                0.66959,                 0.6402,                0.45554,                0.72402,                 2.8154,                 1.5304,                0.95003,               0.069299,               0.003299,               0.003299
                      7,                  0.763,                 1.7339,                 1.2946,                 1.0475,                0.63269,                0.73217,                0.76728,                 0.6462,                0.56627,                0.69148,                0.70253,                0.50514,                0.68757,                 2.4465,                 1.8143,                0.92872,               0.064765,              0.0037649,              0.0037649
                      8,                0.81834,                 1.7503,                 1.3141,                 1.0782,                 0.6401,                0.80062,                0.72976,                0.62875,                0.64076,                0.64809,                 0.6641,                0.47263,                0.68862,                 2.0439,                 1.0014,                0.92585,               0.060226,              0.0042258,              0.0042258
                      9,                0.77475,                 1.7323,                 1.0998,                  1.053,                0.84018,                0.60454,                0.68294,                0.57057,                0.80243,                0.57869,                0.62797,                0.43427,                0.72841,                 1.9112,                 1.0962,                 0.9579,               0.055682,              0.0046817,              0.0046817
                     10,                0.77211,                 1.7234,                 1.1078,                 1.0558,                0.85546,                0.61486,                0.71262,                0.58935,                  0.837,                0.59187,                0.68348,                0.46021,                0.77375,                 1.8492,                 1.0962,                0.96472,               0.051133,              0.0051327,              0.0051327
                     11,                0.77703,                  1.573,                 1.1512,                 1.0425,                0.80608,                0.71769,                0.78829,                0.66236,                0.79565,                0.70796,                0.74813,                0.52144,                0.75793,                 1.8125,                 1.0624,                0.95049,               0.046579,              0.0055787,              0.0055787
